c1_balance,c1_shares,c2_balance,c2_shares,s_shares,s_tau,s_valuation
140.0,0.0,199.0,0.0,0.0,0.01,50.0
128.14216167954504,11.85783832045495,199.0,0.0,11.85783832045495,0.01,61.85783832045495
128.14216167954504,11.85783832045495,183.22880436335464,2.993326087612372,14.851164408067323,0.01,77.62903395710032
128.14216167954504,11.85783832045495,173.97728762024295,4.745704480386552,16.603542800841502,0.01,86.88055070021201
128.14216167954504,11.85783832045495,168.99349490913886,5.688715565207884,17.546553885662835,0.01,91.8643434113161
128.14216167954504,11.85783832045495,166.42066016588865,6.175274416094554,18.033112736549505,0.01,94.4371781545663
136.8607507568282,10.192992940630416,166.42066016588865,6.175274416094554,16.36826735672497,0.01,85.71858907728316
136.8607507568282,10.192992940630416,160.88549144716285,7.221769483405405,17.41476242403582,0.01,91.25375779600895
136.8607507568282,10.192992940630416,158.01338959848843,7.764451286437117,17.957444227067533,0.01,94.12585964468337
145.42368057916988,8.55934693425708,158.01338959848843,7.764451286437117,16.323798220694197,0.01,85.56292982234169
149.70514549034073,7.742523931070412,158.01338959848843,7.764451286437117,15.506975217507529,0.01,81.28146491117084
151.84587794592613,7.334112429477077,158.01338959848843,7.764451286437117,15.098563715914194,0.01,79.14073245558542
151.84587794592613,7.334112429477077,149.43931661108527,9.384027437673442,16.71813986715052,0.01,87.71480544298858
151.84587794592613,7.334112429477077,144.85395826303886,10.249327943840516,17.583440373317593,0.01,92.30016379103499
151.84587794592613,7.334112429477077,142.49537746376004,10.694195532909681,18.02830796238676,0.01,94.65874459031382
151.84587794592613,7.334112429477077,141.30544856459204,10.91858055611548,18.252692985592557,0.01,95.84867348948183
161.27021469066705,5.539413359244545,141.30544856459204,10.91858055611548,16.457993915360024,0.01,86.42433674474091
161.27021469066705,5.539413359244545,136.10467333793906,11.8991707653433,17.438584124587845,0.01,91.6251119713939
168.582770676364,4.147648372783763,136.10467333793906,11.8991707653433,16.046819138127063,0.01,84.31255598569695
168.582770676364,4.147648372783763,129.90797784017633,13.066882068944935,17.214530441728698,0.01,90.50925148345966
175.33739641809382,2.8629431238983276,129.90797784017633,13.066882068944935,15.929825192843262,0.01,83.75462574172982
175.33739641809382,2.8629431238983276,123.45053228978941,14.28290450197815,17.145847625876478,0.01,90.21207129211675
175.33739641809382,2.8629431238983276,120.07032860654476,14.918990451070849,17.781933574969177,0.01,93.59227497536139
175.33739641809382,2.8629431238983276,118.35008022959914,15.242590637125895,18.105533761024223,0.01,95.31252335230701
184.49365809424734,1.1236228428729813,118.35008022959914,15.242590637125895,16.366213479998876,0.01,86.1562616761535
189.0717889323241,0.25396270236030816,118.35008022959914,15.242590637125895,15.496553339486203,0.01,81.57813083807676
189.0717889323241,0.25396270236030816,110.88519542020578,16.646577686754757,16.900540389115065,0.01,89.04301564747013
189.0717889323241,0.25396270236030816,106.93851718936573,17.388248310479792,17.6422110128401,0.01,92.98969387831018
189.0717889323241,0.25396270236030816,104.92000348028472,17.767413556815562,18.02137625917587,0.01,95.00820758739118
190.41067342140508,0.0,104.92000348028472,17.767413556815562,17.767413556815562,0.01,93.66932309831019
190.41067342140508,0.0,104.92000348028472,17.767413556815562,17.767413556815562,0.01,93.66932309831019
190.41067342140508,0.0,103.23796447419,18.083307659532647,18.083307659532647,0.01,95.35136210440491
190.41067342140508,0.0,102.3940994919283,18.24176142402166,18.24176142402166,0.01,96.1952270866666
190.41067342140508,0.0,102.3940994919283,18.24176142402166,18.24176142402166,0.01,96.1952270866666
190.41067342140508,0.0,101.97359914227515,18.32071253301653,18.32071253301653,0.01,96.61572743631976
190.41067342140508,0.0,101.76476495976799,18.359920538028163,18.359920538028163,0.01,96.82456161882692
190.41067342140508,0.0,101.6612233914111,18.379359748550534,18.379359748550534,0.01,96.92810318718381
190.41067342140508,0.0,101.60992893909592,18.38898982395782,18.38898982395782,0.01,96.97939763949898
190.41067342140508,0.0,101.60992893909592,18.38898982395782,18.38898982395782,0.01,96.97939763949898
190.41067342140508,0.0,101.58452804061601,18.39375859086606,18.39375859086606,0.01,97.0047985379789
